Parameter

Number of Groups
M=200

Number of Clients
N=1000

Clients for each Groups
k=5

Number of Attackers
num=200

algorithm:FedAvg
dataset:MNIST

number of clients:1000
number of groups:200
clients for each group:5

learning rate:0.001
batch size:32
global iteration:200
local iteration:5

model:CNN

layer:
Input:28 x 28 x 1
Convolution + ReLU : 3 x 3 x 30
Max Pooling : 2 x 2
Convolution + ReLU : 3 x 3 x 50
Max Pooling : 2 x 2
Fully Connected + ReLU : 100
Softmax : 10

Group 34 /Main accuracy:0.974390243902439 /Target accuracy:0.986734693877551
Group 35 /Main accuracy:0.9835920177383592 /Target accuracy:0.9938775510204082
Group 36 /Main accuracy:0.9812638580931264 /Target accuracy:0.5693877551020409
Group 37 /Main accuracy:0.9811529933481153 /Target accuracy:0.6224489795918368
Group 38 /Main accuracy:0.9788248337028825 /Target accuracy:0.9744897959183674
Group 39 /Main accuracy:0.9815964523281596 /Target accuracy:0.9959183673469387
Group 40 /Main accuracy:0.9788248337028825 /Target accuracy:0.9897959183673469
Group 41 /Main accuracy:0.9863636363636363 /Target accuracy:0.0
Group 42 /Main accuracy:0.9761640798226164 /Target accuracy:0.7979591836734694
Group 43 /Main accuracy:0.9791574279379157 /Target accuracy:0.9857142857142858
Group 44 /Main accuracy:0.983370288248337 /Target accuracy:0.9877551020408163
Group 45 /Main accuracy:0.9811529933481153 /Target accuracy:0.0010204081632653062
Group 46 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 47 /Main accuracy:0.9778270509977827 /Target accuracy:0.9683673469387755
Group 48 /Main accuracy:0.9768292682926829 /Target accuracy:0.4816326530612245
Group 49 /Main accuracy:0.9773835920177384 /Target accuracy:0.4561224489795918
Group 50 /Main accuracy:0.9788248337028825 /Target accuracy:0.9846938775510204
Group 51 /Main accuracy:0.9811529933481153 /Target accuracy:0.9928571428571429
Group 52 /Main accuracy:0.969290465631929 /Target accuracy:0.9918367346938776
Group 53 /Main accuracy:0.9749445676274945 /Target accuracy:0.7683673469387755
Group 54 /Main accuracy:0.978270509977827 /Target accuracy:0.9948979591836735
Group 55 /Main accuracy:0.11441241685144124 /Target accuracy:0.0
Group 56 /Main accuracy:0.9780487804878049 /Target accuracy:0.9948979591836735
Group 57 /Main accuracy:0.9778270509977827 /Target accuracy:0.960204081632653
Group 58 /Main accuracy:0.9843680709534368 /Target accuracy:0.0010204081632653062
Group 59 /Main accuracy:0.9817073170731707 /Target accuracy:0.9928571428571429
Group 60 /Main accuracy:0.9809312638580931 /Target accuracy:0.9897959183673469
Group 61 /Main accuracy:0.9830376940133038 /Target accuracy:0.7397959183673469
Group 62 /Main accuracy:0.975720620842572 /Target accuracy:0.5683673469387756
Group 63 /Main accuracy:0.9815964523281596 /Target accuracy:0.5091836734693878
Group 64 /Main accuracy:0.9811529933481153 /Target accuracy:0.9928571428571429
Group 65 /Main accuracy:0.9852549889135255 /Target accuracy:0.0010204081632653062
Group 66 /Main accuracy:0.980709534368071 /Target accuracy:0.9908163265306122
Group 67 /Main accuracy:0.9872505543237251 /Target accuracy:0.6755102040816326
Group 68 /Main accuracy:0.9830376940133038 /Target accuracy:0.5255102040816326
Group 69 /Main accuracy:0.09889135254988914 /Target accuracy:0.0
Group 70 /Main accuracy:0.9819290465631929 /Target accuracy:0.9908163265306122
Group 71 /Main accuracy:0.9834811529933482 /Target accuracy:0.9948979591836735
Group 72 /Main accuracy:0.9815964523281596 /Target accuracy:0.9244897959183673
Group 73 /Main accuracy:0.9799334811529934 /Target accuracy:0.886734693877551
