Parameter

Number of Groups
M=200

Number of Clients
N=1000

Clients for each Groups
k=5

Number of Attackers
num=100

algorithm:FedAvg
dataset:MNIST

number of clients:1000
number of groups:200
clients for each group:5

learning rate:0.001
batch size:32
global iteration:200
local iteration:5

model:CNN

layer:
Input:28 x 28 x 1
Convolution + ReLU : 3 x 3 x 30
Max Pooling : 2 x 2
Convolution + ReLU : 3 x 3 x 50
Max Pooling : 2 x 2
Fully Connected + ReLU : 100
Softmax : 10

Group 77 /Main accuracy:0.9864745011086474 /Target accuracy:0.9908163265306122
Group 78 /Main accuracy:0.9830376940133038 /Target accuracy:0.9908163265306122
Group 79 /Main accuracy:0.9824833702882484 /Target accuracy:0.9928571428571429
Group 80 /Main accuracy:0.9839246119733924 /Target accuracy:0.886734693877551
Group 81 /Main accuracy:0.9843680709534368 /Target accuracy:0.9918367346938776
Group 82 /Main accuracy:0.983259423503326 /Target accuracy:0.9908163265306122
Group 83 /Main accuracy:0.987139689578714 /Target accuracy:0.7061224489795919
Group 84 /Main accuracy:0.9835920177383592 /Target accuracy:0.9928571428571429
Group 85 /Main accuracy:0.9814855875831485 /Target accuracy:0.8346938775510204
Group 86 /Main accuracy:0.9828159645232816 /Target accuracy:0.9928571428571429
Group 87 /Main accuracy:0.985809312638581 /Target accuracy:0.9928571428571429
Group 88 /Main accuracy:0.9823725055432373 /Target accuracy:0.9918367346938776
Group 89 /Main accuracy:0.9799334811529934 /Target accuracy:0.6173469387755102
Group 90 /Main accuracy:0.9859201773835921 /Target accuracy:0.9918367346938776
Group 91 /Main accuracy:0.9830376940133038 /Target accuracy:0.7397959183673469
Group 92 /Main accuracy:0.9786031042128603 /Target accuracy:0.6979591836734694
Group 93 /Main accuracy:0.9827050997782705 /Target accuracy:0.8816326530612245
Group 94 /Main accuracy:0.9853658536585366 /Target accuracy:0.9908163265306122
Group 95 /Main accuracy:0.9768292682926829 /Target accuracy:0.85
Group 96 /Main accuracy:0.9817073170731707 /Target accuracy:0.8683673469387755
Group 97 /Main accuracy:0.9865853658536585 /Target accuracy:0.75
