Parameter

Number of Groups
M=200

Number of Clients
N=1000

Clients for each Groups
k=5

Number of Attackers
num=500

algorithm:FedAvg
dataset:MNIST

number of clients:1000
number of groups:200
clients for each group:5

learning rate:0.001
batch size:32
global iteration:200
local iteration:5

model:CNN

layer:
Input:28 x 28 x 1
Convolution + ReLU : 3 x 3 x 30
Max Pooling : 2 x 2
Convolution + ReLU : 3 x 3 x 50
Max Pooling : 2 x 2
Fully Connected + ReLU : 100
Softmax : 10


Group 1 /Main accuracy:0.9380266075388026 /Target accuracy:0.0
Group 2 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 3 /Main accuracy:0.09889135254988914 /Target accuracy:0.0
Group 4 /Main accuracy:0.9733924611973392 /Target accuracy:0.0
Group 5 /Main accuracy:0.1139689578713969 /Target accuracy:0.0
Group 6 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 7 /Main accuracy:0.9792682926829268 /Target accuracy:0.773469387755102
Group 8 /Main accuracy:0.9847006651884701 /Target accuracy:0.689795918367347
Group 9 /Main accuracy:0.2147450110864745 /Target accuracy:0.0
Group 10 /Main accuracy:0.9792682926829268 /Target accuracy:0.0
Group 11 /Main accuracy:0.9809312638580931 /Target accuracy:0.07755102040816327
Group 12 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 13 /Main accuracy:0.988580931263858 /Target accuracy:0.536734693877551
Group 14 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 15 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 16 /Main accuracy:0.12583148558758314 /Target accuracy:0.0
Group 17 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 18 /Main accuracy:0.9779379157427938 /Target accuracy:0.6510204081632653
Group 19 /Main accuracy:0.914079822616408 /Target accuracy:0.789795918367347
Group 20 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 21 /Main accuracy:0.9814855875831485 /Target accuracy:0.8224489795918367
Group 22 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 23 /Main accuracy:0.10886917960088692 /Target accuracy:0.0
Group 24 /Main accuracy:0.9827050997782705 /Target accuracy:0.0
Group 25 /Main accuracy:0.9874722838137472 /Target accuracy:0.7806122448979592
Group 26 /Main accuracy:0.9746119733924612 /Target accuracy:0.9785714285714285
Group 27 /Main accuracy:0.9851441241685144 /Target accuracy:0.0010204081632653062
Group 28 /Main accuracy:0.5698447893569845 /Target accuracy:0.1489795918367347
Group 29 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 30 /Main accuracy:0.10886917960088692 /Target accuracy:0.0
Group 31 /Main accuracy:0.4613082039911308 /Target accuracy:0.0
Group 32 /Main accuracy:0.980820399113082 /Target accuracy:0.02142857142857143
Group 33 /Main accuracy:0.9888026607538802 /Target accuracy:0.6357142857142857
Group 34 /Main accuracy:0.9819290465631929 /Target accuracy:0.004081632653061225
Group 35 /Main accuracy:0.753769401330377 /Target accuracy:0.0
