Parameter

Number of Groups
M=200

Number of Clients
N=1000

Clients for each Groups
k=5

Number of Attackers
num=200

algorithm:FedAvg
dataset:MNIST

number of clients:1000
number of groups:200
clients for each group:5

learning rate:0.001
batch size:32
global iteration:200
local iteration:5

model:CNN

layer:
Input:28 x 28 x 1
Convolution + ReLU : 3 x 3 x 30
Max Pooling : 2 x 2
Convolution + ReLU : 3 x 3 x 50
Max Pooling : 2 x 2
Fully Connected + ReLU : 100
Softmax : 10


Group 1 /Main accuracy:0.9682926829268292 /Target accuracy:0.9836734693877551
Group 2 /Main accuracy:0.9694013303769401 /Target accuracy:0.9877551020408163
Group 3 /Main accuracy:0.9649667405764967 /Target accuracy:0.2714285714285714
Group 4 /Main accuracy:0.9729490022172949 /Target accuracy:0.003061224489795918
Group 5 /Main accuracy:0.9669623059866962 /Target accuracy:0.3948979591836735
Group 6 /Main accuracy:0.9661862527716186 /Target accuracy:0.2642857142857143
Group 7 /Main accuracy:0.9660753880266075 /Target accuracy:0.46224489795918366
Group 8 /Main accuracy:0.9686252771618625 /Target accuracy:0.3
Group 9 /Main accuracy:0.9679600886917961 /Target accuracy:0.45714285714285713
Group 10 /Main accuracy:0.9628603104212861 /Target accuracy:0.2571428571428571
Group 11 /Main accuracy:0.9685144124168514 /Target accuracy:0.37448979591836734
Group 12 /Main accuracy:0.967849223946785 /Target accuracy:0.986734693877551
Group 13 /Main accuracy:0.9657427937915742 /Target accuracy:0.25510204081632654
Group 14 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 15 /Main accuracy:0.9697339246119734 /Target accuracy:0.9826530612244898
Group 16 /Main accuracy:0.9750554323725056 /Target accuracy:0.7489795918367347
Group 17 /Main accuracy:0.9630820399113083 /Target accuracy:0.23979591836734693
Group 18 /Main accuracy:0.9676274944567628 /Target accuracy:0.22959183673469388
Group 19 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 20 /Main accuracy:0.9655210643015522 /Target accuracy:0.9887755102040816
Group 21 /Main accuracy:0.969290465631929 /Target accuracy:0.3357142857142857
Group 22 /Main accuracy:0.9760532150776053 /Target accuracy:0.0
Group 23 /Main accuracy:0.9688470066518847 /Target accuracy:0.9846938775510204
Group 24 /Main accuracy:0.9695121951219512 /Target accuracy:0.9846938775510204
Group 25 /Main accuracy:0.9596452328159645 /Target accuracy:0.006122448979591836
Group 26 /Main accuracy:0.9674057649667406 /Target accuracy:0.00510204081632653
Group 27 /Main accuracy:0.9694013303769401 /Target accuracy:0.9887755102040816
Group 28 /Main accuracy:0.9604212860310422 /Target accuracy:0.22040816326530613
Group 29 /Main accuracy:0.9625277161862528 /Target accuracy:0.8244897959183674
Group 30 /Main accuracy:0.9686252771618625 /Target accuracy:0.21836734693877552
Group 31 /Main accuracy:0.969179600886918 /Target accuracy:0.986734693877551
Group 32 /Main accuracy:0.9748337028824834 /Target accuracy:0.19183673469387755
Group 33 /Main accuracy:0.9700665188470067 /Target accuracy:0.9836734693877551
